world,r,T,ll_m0,ll_m1,ll_m2,d10,d21,d20,g1,g2,label
C,19,400,-109.78761059874864,-110.99347540160866,-114.38121297349639,-1.2058648028600203,-3.387737571887726,-4.593602374747746,False,False,no_dependence
C,20,400,-112.53544151609083,-107.12366618912314,-109.75009945505745,5.411775326967685,-2.6264332659343097,2.7853420610333757,False,False,no_dependence
C,21,400,-111.0455064784958,-107.62318733319884,-114.38807931013612,3.422319145296953,-6.764891976937278,-3.342572831640325,False,False,no_dependence
C,22,400,-107.5278035186297,-106.21494941135819,-105.23883420336179,1.3128541072715052,0.9761152079964006,2.288969315267906,False,False,no_dependence
C,23,400,-110.53501595539446,-105.27070404708766,-112.67560306287422,5.264311908306794,-7.404899015786555,-2.14058710747976,False,False,no_dependence
C,24,400,-109.6251767648861,-112.20094959435671,-114.47180075911264,-2.5757728294706084,-2.270851164755925,-4.846623994226533,False,False,no_dependence
C,25,400,-110.03089402997315,-104.53145283682241,-110.85326009961243,5.499441193150744,-6.321807262790017,-0.8223660696392727,False,False,no_dependence
C,26,400,-106.99346021090071,-104.52417081814862,-106.24812506705632,2.4692893927520885,-1.7239542489077024,0.745335143844386,False,False,no_dependence
C,27,400,-109.672950540566,-112.78477974731732,-115.65525529020225,-3.1118292067513096,-2.8704755428849325,-5.982304749636242,False,False,no_dependence
C,28,400,-110.74792229079068,-104.34877434644154,-108.11668911815379,6.399147944349139,-3.767914771712242,2.6312331726368967,True,False,M1_sufficient
C,29,400,-109.91277452915173,-106.90137067953248,-111.03063320981614,3.0114038496192563,-4.129262530283668,-1.117858680664412,False,False,no_dependence
C,30,400,-109.2164847049933,-108.67436439960366,-112.80233920673822,0.5421203053896448,-4.127974807134564,-3.585854501744919,False,False,no_dependence
C,31,400,-110.24021031267982,-109.72909559152352,-114.24387108840504,0.5111147211563036,-4.514775496881526,-4.003660775725223,False,False,no_dependence
C,32,400,-108.82741956931076,-107.61648897738245,-112.21751245830811,1.2109305919283173,-4.601023480925662,-3.3900928889973443,False,False,no_dependence
C,33,400,-110.37757452220818,-104.5536555550528,-104.79271303045815,5.823918967155379,-0.23905747540534605,5.584861491750033,False,False,no_dependence
C,34,400,-108.99355305095148,-99.79245710459135,-100.56616555325698,9.201095946360127,-0.77370844866563,8.427387497694497,True,False,M1_sufficient
